fire_id,a,b,ha,yr
205,55.49658966064453,68.4000015258789,0.01,2021
213,19.022031784057617,2.407831907272339,0.06,2021
214,72.91667938232422,30.429719924926758,0.15,2021
215,31.29490089416504,10.80041217803955,0.1,2021
216,17.590518951416016,49.201820373535156,0.02,2021
219,,,0.01,2021
220,61.1572265625,14.952699661254883,0.01,2021
221,74.84565734863281,56.11662673950195,0.06,2021
222,14.713953018188477,20.945655822753906,0.01,2021
225,13.015376091003418,23.856382369995117,0.2,2021
226,38.90946578979492,11.079235076904297,0.02,2021
227,19.695886611938477,20.521976470947266,0.01,2021
228,66.13162994384766,67.44561004638672,0.02,2021
233,2.4543416500091553,4.81615686416626,0.4,2021
234,1.700570821762085,17.589582443237305,0.01,2021
235,59.29770278930664,39.44866943359375,0.01,2021
236,29.94876480102539,35.24164581298828,0.1,2021
237,0.04785846546292305,0.4083922505378723,0.5,2021
238,25.566789627075195,31.429452896118164,10.7,2021
239,3.2251288890838623,5.607682704925537,0.1,2021
240,1.0175241231918335,0.002658803714439273,0.5,2021
422,59.14628601074219,64.45597839355469,1.5,2021
423,,,0.01,2021
424,63.779518127441406,79.98746490478516,0.05,2021
3829,,,0.05,2024
3830,9.695530891418457,7.890055179595947,0.06,2024
3831,21.384714126586914,39.51108932495117,0.15,2024
3850,20.124828338623047,70.45196533203125,0.01,2024
3851,8.88308048248291,13.405705451965332,3.0,2024
3852,66.00962829589844,58.95576477050781,0.17,2024
3853,16.77846908569336,52.680206298828125,0.06,2024
3856,62.93537139892578,16.94023895263672,0.4,2024
3857,0.5154887437820435,28.50436019897461,0.4,2024
3858,,,0.1,2024
3859,58.62313461303711,32.476593017578125,0.2,2024
3861,94.39263916015625,97.28902435302734,0.82,2024
3862,73.51757049560547,45.25178146362305,2.0,2024
3863,47.17562484741211,42.404945373535156,0.2,2024
3864,47.82389831542969,60.26001739501953,0.4,2024
3865,9.375008583068848,83.05035400390625,0.2,2024
3866,1.209142804145813,6.337857723236084,1.15,2024
