fold,test_year,prow,pcol,year,month,day,hour,sample_type,y_true_t1,y_prob_t1,y_true_t2,y_prob_t2,y_true_t3,y_prob_t3
1,2021,837,1291,2021,3,22,11,pre_ignition,1,0.03689107,0,0.03407703,0,0.027345791
1,2021,837,1291,2021,3,22,10,pre_ignition,0,0.028934283,1,0.029629037,0,0.025714586
1,2021,837,1291,2021,3,22,9,pre_ignition,0,0.0148581965,0,0.017804421,1,0.018479243
1,2021,693,1055,2021,3,21,18,pre_ignition,1,0.042361446,0,0.03724603,0,0.029600622
1,2021,693,1055,2021,3,21,17,pre_ignition,0,0.031946894,1,0.02936618,0,0.02481477
1,2021,693,1055,2021,3,21,16,pre_ignition,0,0.04541301,0,0.040318124,1,0.032398507
1,2021,580,1032,2021,3,19,14,pre_ignition,1,0.08760486,0,0.07224933,0,0.053926058
1,2021,580,1032,2021,3,19,13,pre_ignition,0,0.100011505,1,0.08603136,0,0.06542513
1,2021,580,1032,2021,3,19,12,pre_ignition,0,0.11493257,0,0.10570761,1,0.08331122
1,2021,684,1180,2021,3,19,7,pre_ignition,1,0.021325555,0,0.03144071,0,0.04150264
1,2021,684,1180,2021,3,19,6,pre_ignition,0,0.022868883,1,0.032152496,0,0.04055356
1,2021,684,1180,2021,3,19,5,pre_ignition,0,0.029453786,0,0.039822135,1,0.046522606
1,2021,823,1087,2021,3,18,18,pre_ignition,1,0.05310028,0,0.040395815,0,0.02760372
1,2021,823,1087,2021,3,18,17,pre_ignition,0,0.070697404,1,0.055185683,0,0.0374017
1,2021,823,1087,2021,3,18,16,pre_ignition,0,0.08144781,0,0.06670018,1,0.04593506
1,2021,655,1085,2021,3,17,22,pre_ignition,1,0.003385707,0,0.0051764213,0,0.007992444
1,2021,655,1085,2021,3,17,21,pre_ignition,0,0.0033855028,1,0.0048208237,0,0.007060879
1,2021,655,1085,2021,3,17,20,pre_ignition,0,0.0054454044,0,0.006705365,1,0.008247429
1,2021,552,1053,2021,3,15,14,pre_ignition,1,0.10623823,0,0.09599971,0,0.07385541
1,2021,552,1053,2021,3,15,13,pre_ignition,0,0.09148498,1,0.10378976,0,0.09637487
1,2021,552,1053,2021,3,15,12,pre_ignition,0,0.032576278,0,0.050380845,1,0.06179997
1,2021,702,1046,2021,3,15,14,pre_ignition,1,0.05802287,0,0.04798342,0,0.035056315
1,2021,702,1046,2021,3,15,13,pre_ignition,0,0.07408935,1,0.067734264,0,0.052079543
1,2021,702,1046,2021,3,15,12,pre_ignition,0,0.065009974,0,0.07374915,1,0.06611917
1,2021,731,1361,2021,3,11,13,pre_ignition,1,0.29282776,0,0.28545752,0,0.23105982
