config,use_seq,n_static,fold,test_year,val_year,horizon_h,plgbm,n_test,n_pos_test,auroc,auprc,f1,csi,pod,far,threshold,epochs_run,best_epoch,stop_reason,fold_sec
B_static_all,False,7,3,2023,2024,2,P_lgbm_r20,30380,2185,0.8406519568078309,0.2953575298018294,0.36969824857564887,0.22676676158426093,0.40091533180778033,0.6570086139389193,0.24183276295661926,19,4,early_stop,2.0
B_static_all,False,7,3,2023,2024,3,P_lgbm_r20,30380,1861,0.8451952306690191,0.2681762231484426,0.3594743535396354,0.21912144702842376,0.45566899516389037,0.7031851592579629,0.1906324326992035,19,4,early_stop,2.0
B_static_all,False,7,4,2024,2025,1,P_lgbm_r20,25369,401,0.6016548064315341,0.024658534881571638,0.06389776357827476,0.033003300330033,0.09975062344139651,0.9529964747356052,0.2366429716348648,17,2,early_stop,1.8
B_static_all,False,7,4,2024,2025,2,P_lgbm_r20,25369,261,0.5810503223774444,0.018721028164722726,0.05088495575221239,0.026106696935300794,0.08812260536398467,0.9642301710730948,0.20884494483470917,17,2,early_stop,1.9
B_static_all,False,7,4,2024,2025,3,P_lgbm_r20,25369,172,0.5078326969526642,0.008272865909473187,0.02304147465437788,0.011655011655011656,0.0872093023255814,0.9867256637168141,0.18687964975833893,17,2,early_stop,1.9
B_static_all,False,7,5,2025,2021,1,P_lgbm_r20,26556,1734,0.871476121054573,0.33665662159896637,0.4661876584953508,0.3039404794709286,0.6361014994232987,0.6320880587058039,0.2733689546585083,21,6,early_stop,2.3
B_static_all,False,7,5,2025,2021,2,P_lgbm_r20,26556,1466,0.8817482710264873,0.29388606793004846,0.44429500112082493,0.2855907780979827,0.6759890859481582,0.6691151919866444,0.23431064188480377,21,6,early_stop,2.3
B_static_all,False,7,5,2025,2021,3,P_lgbm_r20,26556,1262,0.8945809013418992,0.2596917238289925,0.42489978778589954,0.2697604790419162,0.713946117274168,0.697549513259483,0.21391905844211578,21,6,early_stop,2.3
C_seq_only,True,6,1,2021,2022,1,P_lgbm_r20,28366,612,0.8554952451062816,0.1273633735909397,0.19644970414201182,0.1089238845144357,0.27124183006535946,0.8460111317254174,0.30102846026420593,45,30,early_stop,9.0
C_seq_only,True,6,1,2021,2022,2,P_lgbm_r20,28366,433,0.8580933806554103,0.10074253500315336,0.16945812807881774,0.09257265877287406,0.19861431870669746,0.852233676975945,0.3311581313610077,45,30,early_stop,9.0
