fire_id,datetime,damagearea,firecause,address_raw,matched_address,recover_level,x_5179,y_5179
4296,2022-03-04 01:01:00,0.01,기타,인천 강화 길상 온수 산42,인천광역시 강화군 길상면 온수리,ri,910248.743113223,1960670.22242859
4305,2022-03-01 17:21:00,0.05,기타,충남 홍성 서부 상황 산11-2,충청남도 홍성군 서부면 상황리,ri,908590.645848291,1842761.14623896
4308,2022-02-28 17:26:00,0.01,입산자실화,충북 단양 대강 성금 산17-1,충청북도 단양군 대강면 성금리,ri,1079452.61619302,1876416.90486004
4309,2022-02-28 16:15:00,0.1,입산자실화,전남 곡성 겸 괴정 산11,전라남도 곡성군 겸면 괴정리,ri,973125.612002086,1695305.54449052
4317,2022-02-27 14:25:00,1.5,입산자실화,충남 태안 이원 내 966-22,충청남도 태안군 이원면 내리,ri,892708.174187868,1883258.31192412
4321,2022-02-27 13:26:00,2.0,입산자실화,울산 동 전하 산159,울산광역시 동구 전하동,dong,1175209.63265839,1725849.04712638
4322,2022-02-27 09:27:00,0.1,입산자실화,충북 단양 적성 하진 산29,충청북도 단양군 적성면 하진리,ri,1070168.00544389,1882440.68563571
4329,2023-03-26 14:52:00,1.2,기타,강원 홍천 영귀미 좌운 산16-1,강원특별자치도 홍천군 영귀미면 좌운리,ri,1045926.26793031,1959784.88657212
4330,2023-03-26 14:50:00,0.04,입산자실화,경기 양주 백석 방성 산54-1,경기도 양주시 백석읍 방성리,ri,956403.550410917,1978285.25909535
4336,2023-03-22 19:47:00,0.5,쓰레기소각,전북 진안 성수 좌포 산226,전북특별자치도 진안군 성수면 좌포리,ri,983265.581683809,1749854.99325285
4338,2023-03-22 16:11:00,0.5,건축물화재비화,충북 청주 상당 남성 귀래 산23,충청북도 청주시 상당구,sgg,1003551.79759301,1841264.1054
4341,2023-03-22 12:41:00,0.2,기타,충남 태안 소원 신덕 산267,충청남도 태안군 소원면 신덕리,ri,882990.440268595,1865358.89378237
4343,2023-03-22 12:20:00,1.0,입산자실화,충북 단양 적성 성곡 산1-1,충청북도 단양군 적성면 성곡리,ri,1068157.55850665,1883418.75287257
4344,2023-03-22 12:16:00,0.5,기타,강원 양구 국토정중앙 적 산149,강원특별자치도 양구군 국토정중앙면 적리,ri,1051201.63368914,2018713.50405381
4356,2023-03-18 14:01:00,0.1,입산자실화,충북 제천 한수 북노 산20-7,충청북도 제천시 한수면 북노리,ri,1050569.77619228,1881596.30281352
4363,2023-03-01 14:37:00,0.3,쓰레기소각,전남 나주 동강 곡천 산243,전라남도 나주시 동강면 곡천리,ri,913038.004831885,1659970.69084996
4365,2023-02-24 17:47:00,0.01,입산자실화,대전 서 장안 산56,대전광역시 서구 장안동,dong,985688.162999,1801400.21445131
4369,2023-02-22 14:52:00,0.1,기타,경기 파주 월룡 도내 269-9,경기도 파주시,sgg,939099.203725639,1983532.8383
4371,2023-02-22 11:53:00,2.1,농산부산물소각,충북 청주 상당 문의 문덕 산6,충청북도 청주시 상당구 문의면 문덕리,ri,1001347.04003986,1829902.55637059
4376,2023-02-20 11:29:00,0.1,담뱃불실화,경북 군위 소보 내의 산167-1,대구광역시 군위군 소보면 내의리,ri,1090321.70854343,1810392.74864761
4383,2023-02-09 19:40:00,0.01,담뱃불실화,충남 논산 가양곡 함적 산1-4,충청남도 논산시,sgg,969189.038689975,1800568.9699
4385,2023-02-04 18:20:00,0.1,입산자실화,경북 포항 북 기계 봉계 산82,경상북도 포항시 북구 기계면 봉계리,ri,1149082.51039539,1787067.18112861
4393,2023-04-12 11:02:00,0.01,기타,충남 금산 남일 신동 691-2,충청남도 금산군 남일면 신동리,ri,999289.907508084,1777867.81504677
4395,2023-05-03 16:28:00,0.2,기타,강원 영월 한반도 쌍용 산123-13,강원특별자치도 영월군 한반도면 쌍용리,ri,1072925.19986754,1909799.75415224
4403,2023-05-03 12:27:00,2.0,입산자실화,강원 양구 국토정중앙 명곶 산1-1,강원특별자치도 양구군 국토정중앙면 명곶리,ri,1044647.19812381,2002612.58200168
4404,2023-06-19 14:45:00,0.06,기타,강원 춘천 남산 산수 산78-1,강원특별자치도 춘천시 남산면 산수리,ri,1014476.89022531,1967228.83223175
4421,2023-03-20 13:48:00,12.0,농산부산물소각,충남 서천 마산 요곡 산46,충청남도 서천군 마산면 요곡리,ri,938746.655954226,1792179.69111041
4422,2023-03-20 13:31:00,0.1,기타,전남 고흥 영남 양사 산167-14,전라남도 고흥군 영남면 양사리,ri,996535.667949874,1622740.65633885
4436,2023-02-17 05:59:00,0.1,건축물화재비화,전남 광양 진상 어치 산293,전라남도 광양시 진상면 어치리,ri,1014888.19243591,1676701.17841594
4440,2022-02-26 16:39:00,5.0,기타,강원 인제 기린 현 산131,강원특별자치도 인제군 기린면 현리,ri,1071827.01203757,1995069.10443982
4442,2022-02-26 15:03:00,0.05,입산자실화,부산 북 만덕 산3,부산광역시 북구 만덕동,dong,1139962.25386878,1691845.15496992
4445,2022-02-26 11:59:00,0.5,입산자실화,충북 청주 서원 현도 달계 산25,충청북도 청주시 서원구 현도면 달계리,ri,994499.221841662,1830974.0164862
4446,2022-02-26 09:35:00,2.0,쓰레기소각,전남 신안 측산 수 177,전라남도 신안군,sgg,874274.132553781,1638262.5055
4447,2022-02-26 07:58:00,0.02,기타,강원 횡성 서원 창촌 산12-1,강원특별자치도 횡성군 서원면 창촌리,ri,1031353.90037306,1943650.15464265
4448,2022-02-26 05:43:00,0.06,기타,인천 강화 송해 양오 산6,인천광역시 강화군 송해면 양오리,ri,906926.60505635,1977508.43780817
4451,2022-02-25 16:42:00,0.2,건축물화재비화,울산 북 어물 산101,울산광역시 북구 어물동,dong,1174570.56710852,1732815.62956343
4453,2022-02-25 14:17:00,2.0,농산부산물소각,전남 순천 상사 흘산 산142,전라남도 순천시 상사면 흘산리,ri,995846.68434977,1661014.89155348
4456,2022-02-25 05:16:00,0.5,기타,경북 김천 구성 금평 산49-5,경상북도 김천시 구성면 금평리,ri,1050771.99459915,1779817.70612076
4458,2022-02-24 17:55:00,1.4,기타,강원 화천 하남 계성 산19,강원특별자치도 화천군 하남면 계성리,ri,1009067.17356964,2010028.86016417
4467,2022-02-24 13:43:00,0.15,입산자실화,충남 공주 우성 옥성 산33-1,충청남도 공주시 우성면 옥성리,ri,962459.771245019,1828881.67781176
4470,2022-02-23 20:27:00,0.2,기타,경북 봉화 법전 풍정 488,경상북도 봉화군 법전면 풍정리,ri,1120504.35546173,1879438.52306899
4475,2022-02-22 19:48:00,0.06,기타,경기 광주 남한산성 산성 산2-1,경기도 광주시 남한산성면 산성리,ri,972340.666988402,1942238.78992352
4484,2022-02-21 15:39:00,0.01,입산자실화,충남 부여 남 회동 산23-3,충청남도 부여군 남면 회동리,ri,937701.205421246,1801474.51327056
