date,hour,top1_pop,top5_pop,top1_pop_day,top5_pop_day,top1_pop_old,top5_pop_old,top5_old_house,wui_top5_cells,max_prob,mean_prob,top10_pop
2023-02-10,8,41380.65057063103,720818.8831125498,31157.424684082598,556045.6619977169,12780.228506437985,160564.775639351,85424.31443955259,2459,0.25155577063560486,0.0157609973102808,15271.39616638422
2023-02-11,8,1113492.4995982796,7612526.586565062,817660.2487998011,5463708.718258551,215538.92578380278,1312505.774125706,534898.7573156138,3736,0.05774763599038124,0.009815838187932968,48874.009872585535
2023-02-12,8,3261530.7483317554,11684922.514478922,2390373.6795434365,9012695.909737516,596890.8136454382,2018186.8100432204,867080.8194197562,4141,0.07772225886583328,0.008054662495851517,45963.116072028875
2023-02-13,8,729570.9115493894,6286183.922824204,665307.1287114522,5163860.496419072,139013.33310733206,1143282.8638047879,497988.663121348,3364,0.08426600694656372,0.005872299894690514,29481.425873726606
2023-02-14,8,3877358.4582114667,10843790.945993066,3084507.832810916,8795933.95581926,686461.9591196534,1820027.0032058014,709448.9118186721,5347,0.054715532809495926,0.00655064033344388,38601.38535967469
2023-02-15,8,2877973.457337126,11569445.606470563,2496152.702891293,9371471.962992232,486507.6891390587,1959737.5282319854,853686.9070829125,4289,0.17800740897655487,0.008109747432172298,29070.326095491648
2023-02-16,8,4457294.457838729,11353053.916198298,3156999.3257627646,8669662.511758735,738608.3555014418,1835561.5454003287,675377.9740123653,6043,0.1777569055557251,0.01118967030197382,35227.758428275585
2023-02-17,8,5405624.323712125,16544736.123744324,3992735.345808685,13001224.961948901,893164.4441612462,2744533.44306097,1178311.5633154172,5698,0.10281863808631897,0.012088575400412083,36286.162812680006
2023-02-18,8,5051431.674186975,14344352.742893234,3800868.8738447707,11092994.654332379,832972.933400425,2385874.9967408506,1028029.9360407245,5480,0.2662124037742615,0.013505826704204082,33404.96944591403
2023-02-19,8,388828.7314095944,1807356.548437111,316903.6804848021,1469130.8777057421,97185.45244978086,388502.9599812872,220184.82363229705,4285,0.3200923502445221,0.012632600031793118,19791.57608357072
