date,hour,top1_pop,top5_pop,wui_top5_cells,max_prob,mean_prob,top10_pop
2021-05-04,11,507540.39378625154,3710961.2371243536,3802,0.529315173625946,0.0076317866332829,27177.576482445
2021-05-04,14,305708.58749094605,1733433.1366596967,3678,0.554301917552948,0.006535604130476713,18704.499236106873
2021-05-05,11,164401.73208147287,1182844.3254667968,3875,0.28629568219184875,0.0028566212859004736,14780.443937391043
2021-05-05,14,160000.1756925583,1617420.147736743,4491,0.4187321960926056,0.010129591450095177,18661.191594660282
2021-05-06,11,157115.5923884809,1819968.249306649,3486,0.5113570094108582,0.02640015073120594,24071.930044919252
2021-05-06,14,215869.8822951615,1368436.9740135968,3539,0.5212740302085876,0.025608928874135017,19573.414429992437
2021-05-07,11,325036.49262699485,1263406.7202641964,3575,0.7042794823646545,0.027641018852591515,23043.31289586425
2021-05-07,14,328959.58183074,1456065.597438231,3631,0.7537550926208496,0.018784163519740105,19178.652209222317
2021-05-08,11,252873.23491546512,1735764.3773555607,3612,0.48217546939849854,0.022200489416718483,22223.614149183035
2021-05-08,14,215225.8490125686,1191912.2502942085,3620,0.6118943095207214,0.0382971428334713,16540.584935873747
2021-05-09,11,393386.62367483974,1385420.8129436076,4789,0.5812720656394958,0.0479528084397316,23181.916909188032
2021-05-09,14,440109.91966354847,1832310.2656366974,4533,0.6475121378898621,0.07954172790050507,30946.101335555315
2021-05-10,11,473816.7158467695,2076481.9251519963,4957,0.5562081336975098,0.027180476114153862,26681.05167788267
2021-05-10,14,569937.6256468743,2310800.5254716054,4722,0.5339146852493286,0.02677913010120392,27360.015860944986
2021-05-11,11,115433.20362126827,1178636.683667168,3068,0.3435524106025696,0.01597387157380581,24252.16748562455
2021-05-11,14,379220.7957022935,2020861.119906813,4016,0.4173141121864319,0.02062046155333519,33071.964158028364
2021-05-12,11,2036023.2808519602,8210551.211396009,5107,0.5192512273788452,0.036343395709991455,62713.1630051136
2021-05-12,14,970465.9433855787,5724001.087278351,5148,0.5543087124824524,0.04111957922577858,51479.76550593972
2021-05-13,11,1010314.7733880281,5125779.941065952,5294,0.40623122453689575,0.04776456207036972,54969.10197994113
2021-05-13,14,692510.69244802,2202232.8649303317,4964,0.4227656126022339,0.04461419954895973,46175.23380610347
2021-05-14,11,1009292.3456341028,5899424.659736335,3873,0.36645469069480896,0.024326227605342865,57821.297072291374
2021-05-14,14,1009372.084770143,5024485.826631516,4974,0.40753430128097534,0.0337485671043396,53108.146805495024
2021-05-15,11,3052362.4535229206,12415206.21805206,5365,0.3210727274417877,0.005138966254889965,58105.83847168088
2021-05-15,14,1117765.5823770463,7871221.795724332,4975,0.34143495559692383,0.00577546888962388,53443.55337816477
2021-05-16,11,326652.1613998711,1412761.1419520378,3467,0.009051828645169735,0.0009598840260878205,26177.597882092
2021-05-16,14,222388.68390396237,1493836.0924844742,3514,0.010508212260901928,0.0008875738712958992,26583.048155725002
2021-05-17,11,200172.9626981616,1042537.0296899751,4197,0.0026190371718257666,0.0001516198244644329,22646.61043778062
2021-05-17,14,147610.47092980146,751288.5686424375,4453,0.0017463121330365539,0.00015698392235208303,17463.821604937315
2021-05-18,11,403123.7563496232,1807156.7478920072,4550,0.0034918978344649076,0.00015206403622869402,18743.51352727413
2021-05-18,14,141357.16469424963,1482557.6188550293,4989,0.004011575132608414,0.0003529172972775996,26633.4297683537
2021-05-19,11,279067.5066499114,2407774.912430793,4658,0.012236363254487514,0.000905731285456568,24027.85116171837
2021-05-19,14,128090.73220953345,815501.0812369883,4895,0.015417071990668774,0.001778308767825365,22096.30447202921
2021-05-20,11,175800.2105664611,3831406.6792104617,4668,0.023318124935030937,0.0006673356401734054,25862.01492214203
2021-05-20,14,312261.8085579276,2778526.6873294637,4878,0.04156111925840378,0.0008426891872659326,18907.03523913026
2021-05-21,11,956160.6289597452,3806126.4673615694,5193,0.00572859775274992,0.0006693506147712469,47704.677151590586
2021-05-21,14,731567.2911750078,4220928.857247502,5090,0.012256298214197159,0.0009126891964115202,41048.531520456076
2021-05-22,11,429631.80864828825,3435944.2465340495,5168,0.03548599034547806,0.0019292011857032776,36995.28877526522
2021-05-22,14,599335.7415686846,4832150.180174783,4584,0.05179935321211815,0.0037478625308722258,44302.521717727184
2021-05-23,11,260471.8500482738,5332443.12406075,4589,0.2247852087020874,0.00463275657966733,41710.53896421194
2021-05-23,14,643770.9580859244,3001491.331289977,3377,0.2220250517129898,0.006834774743765593,43283.48554480076
2021-05-24,11,234142.22655893862,3050033.217963457,3852,0.14936089515686035,0.0035786551889032125,28962.150820344687
2021-05-24,14,1230349.3956217468,6289063.233183116,4528,0.3374771177768707,0.008016180247068405,55431.804998248816
2021-05-25,11,370135.49668221176,1687983.8912169114,4613,0.26096436381340027,0.003973642364144325,20108.59044289589
2021-05-25,14,567740.9926583916,2103461.0877194703,4857,0.513722836971283,0.015317520126700401,27461.045737445354
2021-05-26,11,653553.5962881446,3560632.3041956425,4935,0.404953271150589,0.011287171393632889,37950.57884937525
2021-05-26,14,499246.4478765726,1605280.5297698528,4580,0.4022020399570465,0.018705734983086586,25614.773360222578
2021-05-27,11,425408.5698853135,2091271.5631928518,3100,0.3428192734718323,0.0032009559217840433,24252.48014330864
2021-05-27,14,823678.9046873599,2818015.562002845,4792,0.35397082567214966,0.003463233122602105,30298.511482089758
2021-05-28,11,630977.0546602011,2439164.8030472994,4427,0.4077211916446686,0.0105819720774889,28020.46197298169
2021-05-28,14,588183.7521232367,2739305.012087606,3729,0.5579042434692383,0.009990756399929523,29578.04098689556
2021-05-29,11,102767.53621163219,1312759.4499453753,4400,0.12558910250663757,0.0021733164321631193,19027.725290685892
2021-05-29,14,1598496.0629456341,2879218.165897444,4285,0.18609026074409485,0.0040177046321332455,35334.82189673185
2021-05-30,11,386045.4451391399,1522011.5624513999,3780,0.18405543267726898,0.006274776998907328,24348.122272998095
2021-05-30,14,156531.3208015859,1248650.943239376,3696,0.3103886842727661,0.006722279824316502,21723.304434508085
2021-05-31,11,248682.83642563224,1680206.1256534532,3261,0.13854102790355682,0.0036202038172632456,25923.686926871538
2021-05-31,14,304119.8416175544,839211.697297968,3089,0.33390793204307556,0.005993466358631849,20232.310049951077
2021-06-01,11,281781.11184230447,1434013.6801389605,3536,0.29138389229774475,0.005519175436347723,26943.383372694254
2021-06-01,14,149663.02621866018,1094681.0464609787,3001,0.4049476087093353,0.008217910304665565,23595.799425840378
2021-06-02,11,815090.0382476747,2911678.9716364443,3908,0.350502073764801,0.012843351811170578,36099.22673216462
2021-06-02,14,257163.07972860336,1576965.4738452286,4301,0.3896895945072174,0.01585901714861393,27230.212794154882
2021-06-03,11,902856.6229405105,5637038.011124924,3153,0.13113915920257568,0.0016745736356824636,47851.29923400283
2021-06-03,14,400931.98253282905,1165030.3971266001,2979,0.13708607852458954,0.0008773889858275652,20078.35153272748
2021-06-04,11,294634.53786465526,2022941.5552424863,4816,0.006849630270153284,0.0006937048747204244,26821.821184188128
2021-06-04,14,315315.4796100259,1520796.3772274554,4431,0.02288077585399151,0.0019433362176641822,27649.78555253148
