fire_id,ignite_h,end_h,hours,damagearea,source,n_cells,coord_src,loc
171,2021-02-09 14:00:00,2021-02-09 16:00:00,3,0.03,point,1,sgis_recovered,경북 의성 금성
172,2021-02-09 13:00:00,2021-02-09 23:00:00,11,1.0,point,1,sgis_recovered,강원 삼척 신기
173,2021-02-09 12:00:00,2021-02-09 13:00:00,2,0.01,point,1,original,전남 영광 군남
174,2021-02-08 14:00:00,2021-02-08 16:00:00,3,0.17,point,1,sgis_recovered,인천 강화 양도
175,2021-02-08 13:00:00,2021-02-08 14:00:00,2,0.1,point,1,original,경북 안동 nan
176,2021-02-08 11:00:00,2021-02-08 13:00:00,3,0.08,point,1,original,경북 울진 평해
177,2021-02-08 11:00:00,2021-02-08 12:00:00,2,0.01,point,1,original,경남 함안 산인
178,2021-02-07 15:00:00,2021-02-07 17:00:00,3,0.01,point,1,sgis_recovered,대구 남 nan
179,2021-02-06 16:00:00,2021-02-06 17:00:00,2,0.01,point,1,sgis_recovered,대구 남 nan
180,2021-02-06 01:00:00,2021-02-06 04:00:00,4,0.01,point,1,original,경남 양산 상북
181,2021-04-21 09:00:00,2021-04-21 11:00:00,3,0.01,point,1,sgis_recovered,경기 양평 양서
182,2021-04-20 20:00:00,2021-04-20 23:00:00,4,0.1,point,1,original,전남 광양 옥룡
183,2021-04-20 18:00:00,2021-04-20 21:00:00,4,0.03,point,1,original,경북 문경 문경
184,2021-04-20 15:00:00,2021-04-20 18:00:00,4,0.3,point,1,sgis_recovered,강원 홍천 남
185,2021-04-20 14:00:00,2021-04-20 17:00:00,4,0.3,point,1,original,전북 남원 인월
186,2021-04-20 11:00:00,2021-04-20 13:00:00,3,0.2,point,1,original,경북 구미 nan
187,2021-04-19 17:00:00,2021-04-19 21:00:00,5,1.5,point,1,original,강원 횡성 공근
188,2021-04-19 13:00:00,2021-04-19 16:00:00,4,0.33,point,1,original,경기 양평 옥천
189,2021-04-19 11:00:00,2021-04-19 14:00:00,4,0.08,point,1,original,경남 양산 원동
190,2021-04-19 09:00:00,2021-04-19 10:00:00,2,0.01,point,1,original,경남 김해 진영
191,2021-04-18 13:00:00,2021-04-18 13:00:00,1,0.02,point,1,original,경기 양평 양평
192,2021-04-17 20:00:00,2021-04-17 23:00:00,4,0.2,point,1,original,대전 유성 nan
193,2021-04-17 15:00:00,2021-04-17 18:00:00,4,0.2,point,1,original,전남 여수 nan
194,2021-04-17 12:00:00,2021-04-17 13:00:00,2,0.01,point,1,original,강원 평창 진부
195,2021-04-17 10:00:00,2021-04-17 12:00:00,3,0.03,point,1,original,경기 양평 용문
197,2021-04-16 16:00:00,2021-04-16 17:00:00,2,1.0,point,1,sgis_recovered,경북 영양 수비
198,2021-04-16 15:00:00,2021-04-16 16:00:00,2,0.2,point,1,original,전남 나주 남평
199,2021-04-13 15:00:00,2021-04-13 17:00:00,3,0.5,point,1,sgis_recovered,경북 봉화 재산
200,2021-04-12 12:00:00,2021-04-12 13:00:00,2,0.03,point,1,sgis_recovered,인천 중 nan
201,2021-04-11 20:00:00,2021-04-11 21:00:00,2,0.03,point,1,original,경북 봉화 명호
202,2021-04-11 19:00:00,2021-04-11 20:00:00,2,0.01,point,1,sgis_recovered,충남 공주 이인
204,2021-04-11 13:00:00,2021-04-11 15:00:00,3,0.1,point,1,original,충남 서산 음암
205,2021-04-11 13:00:00,2021-04-11 14:00:00,2,0.01,point,1,original,충남 부여 옥산
207,2021-04-11 11:00:00,2021-04-11 18:00:00,8,1.4,point,1,original,전남 광양 옥룡
208,2021-04-11 10:00:00,2021-04-11 12:00:00,3,0.05,point,1,original,경북 문경 동로
210,2021-04-11 10:00:00,2021-04-11 17:00:00,8,0.5,point,1,sgis_recovered,경북 봉화 재산
211,2021-04-10 19:00:00,2021-04-10 20:00:00,2,0.03,point,1,original,충남 보령 주교
212,2021-04-10 10:00:00,2021-04-10 12:00:00,3,0.5,point,1,original,전북 장수 계북
213,2021-04-09 16:00:00,2021-04-09 19:00:00,4,0.06,point,1,original,경기 안성 원곡
214,2021-04-09 13:00:00,2021-04-09 15:00:00,3,0.15,point,1,sgis_recovered,전남 화순 사평
215,2021-04-09 12:00:00,2021-04-09 14:00:00,3,0.1,point,1,original,전남 광양 옥룡
216,2021-04-08 13:00:00,2021-04-08 14:00:00,2,0.02,point,1,original,충남 공주 이인
217,2021-04-08 10:00:00,2021-04-08 10:00:00,1,0.01,point,1,original,경기 가평 가평
218,2021-04-08 10:00:00,2021-04-08 11:00:00,2,0.02,point,1,original,전남 영광 홍농
219,2021-04-07 15:00:00,2021-04-07 17:00:00,3,0.01,point,1,original,경기 파주 군내
220,2021-04-07 13:00:00,2021-04-07 15:00:00,3,0.01,point,1,original,경남 진주 집현
221,2021-04-07 12:00:00,2021-04-07 14:00:00,3,0.06,point,1,original,경북 영천 고경
222,2021-04-06 13:00:00,2021-04-06 13:00:00,1,0.01,point,1,original,경기 고양 덕양
223,2021-04-03 01:00:00,2021-04-03 11:00:00,11,0.5,point,1,original,울산 울주 온양
224,2021-04-02 19:00:00,2021-04-02 21:00:00,3,0.15,point,1,original,경북 영덕 영덕
225,2021-04-02 16:00:00,2021-04-02 18:00:00,3,0.2,point,1,original,경기 양평 청운
226,2021-04-02 14:00:00,2021-04-02 15:00:00,2,0.02,point,1,original,전북 남원 주천
227,2021-04-02 14:00:00,2021-04-02 15:00:00,2,0.01,point,1,original,충북 청주 상당
228,2021-04-02 12:00:00,2021-04-02 14:00:00,3,0.02,point,1,sgis_recovered,경남 창녕 대합
229,2021-04-02 11:00:00,2021-04-02 14:00:00,4,0.66,point,1,original,경기 파주 문산
230,2021-04-02 09:00:00,2021-04-02 11:00:00,3,0.1,point,1,original,경기 화성 봉담
231,2021-04-02 01:00:00,2021-04-02 03:00:00,3,0.1,point,1,original,경기 용인 처인
232,2021-04-01 18:00:00,2021-04-01 21:00:00,4,0.02,point,1,original,서울 관악 nan
233,2021-04-01 16:00:00,2021-04-01 18:00:00,3,0.4,point,1,sgis_recovered,경기 안성 고삼
234,2021-04-01 15:00:00,2021-04-01 15:00:00,1,0.01,point,1,original,경기 고양 덕양
235,2021-04-01 12:00:00,2021-04-01 13:00:00,2,0.01,point,1,sgis_recovered,충남 태안 남
236,2021-04-01 12:00:00,2021-04-01 15:00:00,4,0.1,point,1,sgis_recovered,충남 공주 우성
237,2021-03-31 15:00:00,2021-04-01 11:00:00,21,0.5,point,1,original,강원 양구 양구
238,2021-03-31 15:00:00,2021-04-01 12:00:00,22,10.7,point,1,sgis_recovered,강원 정선 신동
239,2021-03-31 12:00:00,2021-03-31 13:00:00,2,0.1,point,1,sgis_recovered,경북 군위 효령
240,2021-03-30 14:00:00,2021-03-30 21:00:00,8,0.5,point,1,sgis_recovered,강원 삼척 가곡
422,2021-02-05 14:00:00,2021-02-05 19:00:00,6,1.5,point,1,original,강원 정선 북평
423,2021-02-04 13:00:00,2021-02-04 13:00:00,1,0.01,point,1,sgis_recovered,경남 통영 도산
424,2021-02-03 15:00:00,2021-02-03 17:00:00,3,0.05,point,1,original,경남 고성 영오
3827,2024-06-10 04:00:00,2024-06-10 14:00:00,11,0.21,point,1,sgis_recovered,인천 강화 양사
3828,2024-06-10 03:00:00,2024-06-10 14:00:00,12,0.66,point,1,original,인천 강화 하점
3829,2024-06-09 12:00:00,2024-06-09 14:00:00,3,0.05,point,1,original,인천 강화 삼산
3830,2024-06-20 14:00:00,2024-06-20 16:00:00,3,0.06,point,1,original,강원 정선 남면
3831,2024-06-20 13:00:00,2024-06-20 17:00:00,5,0.15,point,1,original,충남 천안 동남 목천
3850,2024-06-18 17:00:00,2024-06-18 20:00:00,4,0.01,point,1,original,충남 서천 화양
3851,2024-06-18 17:00:00,2024-06-19 17:00:00,25,3.0,point,1,sgis_recovered,광주 북 nan
3852,2024-06-18 13:00:00,2024-06-18 17:00:00,5,0.17,point,1,original,강원 평창 진부
3853,2024-06-18 12:00:00,2024-06-18 15:00:00,4,0.06,point,1,sgis_recovered,경기 용인 처인 이동
3854,2024-04-14 22:00:00,2024-04-14 23:00:00,2,0.07,point,1,original,충남 보령 남포
3855,2024-04-14 18:00:00,2024-04-14 20:00:00,3,0.01,point,1,original,경기 양주 은현
3856,2024-04-14 16:00:00,2024-04-14 18:00:00,3,0.4,point,1,original,충남 보령 nan
3857,2024-04-14 15:00:00,2024-04-14 19:00:00,5,0.4,point,1,original,강원 홍천 내촌
3858,2024-04-14 14:00:00,2024-04-14 15:00:00,2,0.1,point,1,original,경기 포천 신북
3859,2024-04-14 12:00:00,2024-04-14 14:00:00,3,0.2,point,1,sgis_recovered,전남 곡성 겸
3860,2024-04-14 11:00:00,2024-04-14 18:00:00,8,0.3,point,1,original,경기 김포 월곶
3861,2024-03-20 16:00:00,2024-03-20 19:00:00,4,0.82,point,1,original,대전 동 nan
3862,2024-03-20 16:00:00,2024-03-20 19:00:00,4,2.0,point,1,original,전남 해남 해남
3863,2024-03-20 14:00:00,2024-03-20 16:00:00,3,0.2,point,1,sgis_recovered,전북 순창 적성
3864,2024-03-20 13:00:00,2024-03-20 16:00:00,4,0.4,point,1,sgis_recovered,전북 완주 구이
3865,2024-03-20 13:00:00,2024-03-20 15:00:00,3,0.2,point,1,original,전북 전주 덕진
3866,2024-03-20 13:00:00,2024-03-20 16:00:00,4,1.15,point,1,sgis_recovered,광주 동 nan
3867,2024-03-20 10:00:00,2024-03-20 13:00:00,4,0.03,point,1,original,대구 달성 하빈
3868,2024-03-20 09:00:00,2024-03-20 11:00:00,3,0.38,point,1,original,경기 남양주 별내
3869,2024-03-20 08:00:00,2024-03-20 09:00:00,2,0.09,point,1,sgis_recovered,충남 서산 인지
3870,2024-03-20 01:00:00,2024-03-20 07:00:00,7,0.3,point,1,original,경남 양산 원동
